Real-time detection log initialized.
[2025-04-23 01:18:04] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:04] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:04] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:08] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:09] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:09] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:09] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:13] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:14] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:14] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:14] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:18] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:19] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:19] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:19] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:23] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:23] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:24] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:24] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:24] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:24] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:28] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:28] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:29] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:29] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:29] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:29] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:28] 🔍 Starting real-time detection scan
[2025-04-23 01:23:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:28] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:33] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:38] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:38] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:38] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:43] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:43] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:43] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:48] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:53] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:23:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:23:58] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:24:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:03] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:24:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:08] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:24:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:13] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:24:18] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:24:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:18] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:24:23] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:24:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:23] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:24:28] ✅ Real-time detection finished.
[2025-04-23 01:28:48] 🔍 Starting real-time detection scan
[2025-04-23 01:28:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:28:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:28:48] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:28:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:28:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:28:53] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:28:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:28:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:28:58] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:03] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:08] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:13] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:18] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:23] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:28] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:34] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:34] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:39] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:39] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:29:39] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:39] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:44] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:29:44] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:29:44] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:44] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:29:49] ✅ Real-time detection finished.
[2025-04-23 01:31:23] 🔍 Starting real-time detection scan
[2025-04-23 01:31:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:23] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
